serial_no,district_name,block_tehsil_name,village_name,unique_id,water_body_name,latitude,longitude,maximum_water_spread_area
20017,Malda,Chanchal-Ii,Uttar Bhabanipur,1/19/316/002934/0312248/003,C C ROAD ,25.4088532,87.9674483,0.4
20016,Malda,Chanchal-Ii,Uttar Bhabanipur,1/19/316/002934/0312248/004,C C ROAD ,25.409332,87.9669592,0.3
20020,Malda,Chanchal-Ii,Uttar Bhabanipur,1/19/316/002934/0312248/005,KACHA RASTA ,25.4104522,87.9666085,0.3
20021,Malda,Chanchal-Ii,Uttar Bhabanipur,1/19/316/002934/0312248/006,KACHA RASTA ,25.4105381,87.9689586,0.3
21526,Malda,Chanchal-Ii,Uttar Bhabanipur,1/19/316/002934/0312248/007,KACHA RASTA ,25.4105322,87.9688486,0.3
19869,Malda,Chanchal-Ii,Uttar Bhabanipur,1/19/316/002934/0312248/008,C C ROAD ,25.4036418,87.9697902,0.5
21524,Malda,Chanchal-Ii,Uttar Rasulpur,1/19/316/002934/0312247/001,C C ROAD ,25.4022923,87.974519,0.3
21523,Malda,Chanchal-Ii,Uttar Rasulpur,1/19/316/002934/0312247/002,C C ROAD ,25.3981873,87.9745509,0.3
20013,Malda,Chanchal-Ii,Uttar Rasulpur,1/19/316/002934/0312247/003,KACHA RASTA ,25.4039486,87.9765378,0.3
4397,Malda,Chanchal-Ii,Rampur,1/19/316/002934/0312249/016,KACHA RASTA ,25.3976697,87.9726425,1
7458,Malda,Chanchal-Ii,Rampur,1/19/316/002934/0312249/017,KACHA RASTA ,25.3942473,87.974493,0.7
3846,Malda,English Bazar,Bilbari,1/19/316/002935/0313458/016,JHUNTA,24.8665079,88.1475132,0.35
3840,Malda,English Bazar,Bilbari,1/19/316/002935/0313458/017,SAMIULLAH,24.8675067,88.14654,0.1
11923,Malda,English Bazar,Bilbari,1/19/316/002935/0313458/018,NAMAI,24.8668783,88.1449051,0.61
11921,Malda,English Bazar,Bilbari,1/19/316/002935/0313458/019,NIMAI,24.8672833,88.1444533,0.23
4973,Malda,English Bazar,Bilbari,1/19/316/002935/0313458/020,NA,24.8662383,88.14071,0.8
11920,Malda,English Bazar,Bilbari,1/19/316/002935/0313458/021,GOUR,24.8688835,88.1436688,0.4
7524,Malda,English Bazar,Bilbari,1/19/316/002935/0313458/022,BITHAN,24.8689017,88.1435683,0.03
4512,Malda,English Bazar,Bilbari,1/19/316/002935/0313458/023,BIDHAN MANDAL,24.868975,88.1444267,0.7
11917,Malda,English Bazar,Bilbari,1/19/316/002935/0313458/024,MANDAL,24.8693342,88.1450459,0.51
22517,Malda,Old Malda,Kaluari,1/19/316/002944/0313297/001,SUBODH CHOUDHARY POND ,25.0444489,88.1795414,0.5
22526,Malda,Old Malda,Kaluari,1/19/316/002944/0313297/002,MANGALBARI GP PRANAB DOCTOR ,25.0511244,88.1770783,0.4
24755,Malda,Old Malda,Kaluari,1/19/316/002944/0313297/003,MANGALBARI GP ,25.0480426,88.1786391,0.2
22524,Malda,Old Malda,Kaluari,1/19/316/002944/0313297/004,MANGALBARI GP ,25.0489816,88.1779165,0.26
6733,Malda,Chanchal-I,Ashwinpur,1/19/316/002933/0312166/039,ABDUL JALILBAHARUL ALAM,25.4767758,88.010165,0.3
7925,Malda,Chanchal-I,Ashwinpur,1/19/316/002933/0312166/040,KAMIRUDDINSAIFUDDIN,25.4588995,88.0294111,0.59
6732,Malda,Chanchal-I,Ashwinpur,1/19/316/002933/0312166/041,MOKBUL HOSSIONMUSLIMA BIBIRUSTUM ALI,25.4590384,88.0329269,0.23
8025,Malda,Chanchal-I,Ashwinpur,1/19/316/002933/0312166/042,MASUD ALAM,25.4581991,88.0321817,0.238
3854,Malda,Chanchal-I,Ashwinpur,1/19/316/002933/0312166/043,LATE ABDUL RAHAMAN,25.4588702,88.0102814,0.141
3853,Malda,Chanchal-I,Ashwinpur,1/19/316/002933/0312166/044,JAHURUL AND BROTHERS,25.4588702,88.0102814,0.266
7924,Malda,Chanchal-I,Ashwinpur,1/19/316/002933/0312166/045,JAHURUL AND BROTHERS,25.4588702,88.0102814,0.14
3870,Malda,Chanchal-I,Ashwinpur,1/19/316/002933/0312166/046,NAJIMUDDIN,25.4588702,88.0102814,0.266
7923,Malda,Chanchal-I,Ashwinpur,1/19/316/002933/0312166/047,MOHASIN ALISAIBANU BIBI,25.4566903,88.0300416,0.145
16683,Malda,Habibpur,Hapania,1/19/316/002937/0313142/011,BASANTO MUNDA ,24.992735,88.2783733,0.25
16680,Malda,Habibpur,Hapania,1/19/316/002937/0313142/012,SUKU MUNDA,24.9948083,88.280585,0.12
16681,Malda,Habibpur,Hapania,1/19/316/002937/0313142/013,TAPAN PRAMANIK ,24.9952383,88.283505,0.26
16970,Malda,Habibpur,Hapania,1/19/316/002937/0313142/014,CHURKA BASKE ,24.9921183,88.2823767,0.37
16685,Malda,Habibpur,Hapania,1/19/316/002937/0313142/015,JHANTU SAHA,24.9904517,88.2829717,0.25
16686,Malda,Habibpur,Hapania,1/19/316/002937/0313142/016,JHABU  SAHA,24.9894433,88.2816583,0.24
16687,Malda,Habibpur,Hapania,1/19/316/002937/0313142/017,SUSHANTO CHOUDHARY ,24.9887483,88.2818483,0.16
16688,Malda,Habibpur,Hapania,1/19/316/002937/0313142/018,SUSHANT CHOUDHARY ,24.9889038,88.2821083,0.23
16689,Malda,Habibpur,Hapania,1/19/316/002937/0313142/019,SUSHANT CHOUDHARY ,24.9889578,88.2824573,0.32
23048,Malda,Habibpur,Anail,1/19/316/002937/0313141/014,BAPI THAKUR,24.9974864,88.2654494,0.13
9432,Malda,Habibpur,Mangalpura,1/19/316/002937/0312937/017,CHAT PUKUR,25.0739385,88.298281,0.13
16671,Malda,Chanchal-Ii,Kashipara,1/19/316/002934/0312299/014,MALDIPUR FOOTBALL MATH,25.3309143,88.0179422,0.4
16717,Malda,Chanchal-Ii,Kashipara,1/19/316/002934/0312299/015,NH,25.3303467,88.0159517,0.5
